id,name,district,price_min,price_max,google_rating,num_google_reviews,opening_time,closing_time,location,latitude,longitude,tag_1,tag_2,tag_3,address,phone,description
RST_015,Nik Tomyam,Seri Iskandar,RM1.00,RM20.00,3.0,95,18:00:00,02:00:00,"4.365083635913176, 100.98015840965236",4.365083636,100.9801584,Thai,Street-Side,Casual,"31750 Seri Iskandar, Perak",Not Available,Casual Thai eatery popular for tomyam and stir-fried dishes.
RST_016,Nasi Ayam Junid Seri Iskandar,Seri Iskandar,RM1.00,RM20.00,4.0,28,11:00:00,22:00:00,"4.360969149147568, 100.96195239255788",4.360969149,100.9619524,Malay,Rice,Popular,"No 21, TAMAN ISKANDAR BESTARI, 32610 Seri Iskandar, Perak",0195540289,Malay restaurant offering traditional nasi ayam and rice dishes.
RST_017,Village 3 (V3) Café UTP,Seri Iskandar,RM1.00,RM20.00,3.9,352,08:00:00,22:30:00,"4.386918404538384, 100.9655515809164",4.386918405,100.9655516,UTP,Family-Friendly,Study-Friendly,"31750 Seri Iskandar, Perak",053688000,University Café with affordable local meals for students.
RST_018,Yang Guo Fu Malatang,Ipoh,RM20.00,RM40.00,4.1,32,12:00:00,22:00:00,"4.598793675169488, 101.09595896831424",4.598793675,101.095959,Chinese,Late-Night Eats,Popular,"66, Persiaran Greentown 1, Pusat Perdagangan Greentown, 30450 Ipoh, Perak",Not Available,Chinese hotpot chain specializing in malatang soup.
RST_019,"Otai Burger, Bandar Universiti",Seri Iskandar,RM1.00,RM20.00,5.0,1,08:00:00,12:00:00,"4.364874676770403, 100.98006504502621",4.364874677,100.980065,Fast Food,Burger,Street-Side,"Jalan Susur Utama, 31750 Seri Iskandar, Perak",Not Available,Fast-food burger stall popular among students and night owls.
RST_020,Harraz Café Village 6 (V6),Seri Iskandar,RM1.00,RM20.00,4.0,232,08:00:00,22:00:00,"4.38302832450414, 100.97509739951138",4.383028325,100.9750974,UTP,Family-Friendly,Study-Friendly,"31750 Seri Iskandar, Perak",Not Available,Café in Village 6 offering Malay and Western fusion food.
RST_021,Mastergrill SIBC Restaurant & Catering,Seri Iskandar,RM1.00,RM20.00,3.8,1177,12:30:00,22:30:00,"4.3539453562083565, 100.96761761094396",4.353926273,100.9676096,Grill,Western,Casual,"380/381, 14, Lebuh SIBC, 32610 Seri Iskandar, Perak",0199999062,Grill house with Malay and Western dishes.
RST_022,Nasi Lemak Daun Pisang Aura Shiera,Seri Iskandar,RM1.00,RM20.00,4.0,3,06:30:00,10:30:00,"4.357519040505198, 100.96669871359006",4.357519041,100.9666987,Malay,Breakfast Spot,Popular,"Pintu Gerbang,Jalan Teknologi 1 32610 Sri Iskandar 32610 Ipoh Malaysia Seri Iskandar, 32610 Bota, Perak",0165148425,Breakfast spot serving banana leaf nasi lemak.
RST_023,"ZUS Coffee - Seri Iskandar, Perak",Seri Iskandar,RM1.00,RM20.00,4.2,148,08:00:00,21:40:00,"4.357997695983531, 100.96837930463116",4.357997696,100.9683793,Study-Friendly,Dessert,Trendy,"No 25 (Ground Floor, Persiaran SIBC 2, Business Centre, 31620 Seri Iskandar, Perak",0128161340,"Coffee shop chain with beverages and light bites, study-friendly."
RST_024,Shawarma Zinger UTP,Seri Iskandar,RM1.00,RM20.00,5.0,1,20:00:00,04:00:00,"4.382808677730966, 100.97474248784867",4.382808678,100.9747425,UTP,Middle Eastern,Takeaway,"31750 Bota, Perak",053688000,"Middle Eastern street food stall, famous for shawarma."
RST_025,Rayyan Nasi Kukus,Seri Iskandar,RM1.00,RM20.00,4.2,578,07:00:00,16:00:00,"4.359204246227581, 100.96399951276082",4.359204246,100.9639995,Malay,Rice,Popular,"Lot 148, Persiaran Dataran 2, Bandar Seri Iskandar, 32610 Seri Iskandar, Perak",0129192663,Malay nasi kukus stall offering steamed rice with spicy curry.
RST_026,Boat Noodle - Ipoh Parade,Ipoh,RM20.00,RM40.00,3.8,210,11:00:00,22:00:00,"4.603086446695478, 101.08825655744491",4.603086447,101.0882566,Thai,Casual,Mall-Based,"T16, Ipoh Parade, 105, Jalan Sultan Abdul Jalil, 31350 Ipoh, Perak",01126454355,Thai chain famous for small bowls of noodles and creative drinks.
RST_027,Arif Tomyam,Seri Iskandar,RM1.00,RM20.00,3.4,46,15:00:00,02:00:00,"4.355562337176878, 100.96692726789638",4.355562337,100.9669273,Thai,Street-Side,Casual,"211, Persiaran SIBC 1, Bandar Seri Iskandar, 32600 Bota, Perak",0178949906,Casual Thai eatery with spicy tomyam and stir-fried favorites.
RST_028,Krua Thai Tomyam,Seri Iskandar,RM1.00,RM20.00,2.6,24,16:30:00,03:00:00,"4.353880172610186, 100.96713261653906",4.353880173,100.9671326,Thai,Seafood,Romantic,"372, Persiaran SIBC 14, Bandar Seri Iskandar, 32600 Bota, Perak",0195296123,Thai seafood place specializing in spicy tomyam and curries.
RST_029,Bischroon B Tomyam,Seri Iskandar,RM1.00,RM20.00,4.6,8,14:00:00,01:30:00,"4.360124554727606, 100.96259275892199",4.360124555,100.9625928,Thai,Street-Side,Late-Night Eats,"3A psrn, Persiaran Dataran 3, Taman Iskandar Perdana, 32610 Seri Iskandar, Perak",01116458012,Street-style tomyam stall with flavorful broth and quick service.
RST_030,The Black Caravan (Seri Iskandar),Seri Iskandar,RM1.00,RM20.00,4.4,374,12:00:00,23:00:00,"4.362860344360303, 100.9782508029526",4.362860344,100.9782508,Street-Side,Outdoor Seating,Popular,"36, Jln PP 5, Bandar Universiti, 31750 Seri Iskandar, Perak",0132436058,"Trendy outdoor Mamak serving drinks, snacks, and light meals."
RST_031,Restoran Al Bayan,Seri Iskandar,RM1.00,RM20.00,3.6,317,00:00:00,00:00:00,"4.366251838608997, 100.9779510678415",4.366251839,100.9779511,Mamak Stall,Malay,Indian,"Taman Maju, 32600 Seri Iskandar, Perak",0167768172,"Mexican mixed dishes served freshly, varies from spaghetti to tacos."
RST_032,Restoran D'sup Power,Seri Iskandar,RM1.00,RM20.00,4.0,1,20:00:00,00:00:00,"4.374995858765654, 100.97973167371016",4.374995859,100.9797317,Malay,Rice,Casual,"13, Jalan Lestari 1, Lestari IUS, 32610 Seri Iskandar, Perak",0173036824,Small Malay diner offering traditional rice and noodle meals.
RST_033,NKI Bistro,Seri Iskandar,RM1.00,RM20.00,2.3,10,00:00:00,00:00:00,"4.365045523724772, 100.97993656729325",4.365045524,100.9799366,Mamak Stall,Malay,Indian,"Jalan Susur Utama, 31750 Seri Iskandar, Perak",Not Available,Fusion bistro serving Indian and Malay foods.
RST_034,Domino's Seri Iskandar,Seri Iskandar,RM20.00,RM40.00,4.1,582,10:30:00,23:00:00,"4.365227131519017, 100.97832204704949",4.365227132,100.978322,Fast Food,Pizza,Delivery Available,"No. 1 & 1A, Jalan PP1, Bandar Universiti Seri Iskandar, 32610, Bandar Seri Iskan, 32610 Perak",1-300-88-8333,Pizza chain known for delivery and takeout options.
RST_035,Secret Recipe Seri Iskandar,Seri Iskandar,RM20.00,RM40.00,3.7,472,11:00:00,22:00:00,"4.364785444753905, 100.9789884597121",4.364785445,100.9789885,Cakery,Study-Friendly,Vegetarian-Friendly,"No. 2 & 2A, Jalan PP 2, Bandar Universiti Lakeville, 31750 Seri Iskandar, Perak",053668913,Cakery and café serving Western desserts and light meals.
RST_036,E One Roti Doll,Seri Iskandar,RM1.00,RM20.00,4.3,49,07:00:00,12:00:00,"4.361912976449535, 100.97759011240665",4.361912976,100.9775901,Street-Side,Breakfast Spot,Malay,"Jalan PP5, 31750 Seri Iskandar, Perak",0166790498,Breakfast stall famous for fluffy roti canai and tea.
RST_037,A&W Seri Iskandar,Seri Iskandar,RM20.00,RM40.00,4.2,262,10:00:00,23:00:00,"4.3583355119619185, 100.96702059894123",4.358335512,100.9670206,Fast Food,Chicken,Family-Friendly,"NO 1 (GROUND FLOOR PSRN, Persiaran SIBC 2, BUSINESS CENTRE, 32610 Seri Iskandar, Perak",0341312057,"American fast-food chain serving burgers, root beer, and fried chicken."
RST_038,Kentang&Co,Seri Iskandar,RM1.00,RM20.00,5.0,7,21:30:00,01:00:00,"4.358346391793189, 100.96677215471694",4.358346392,100.9667722,Fast Food,Casual,Trendy,"Persiaran sibc 2, Lebuh SIBC, 32610 Seri Iskandar, Perak",01117823480,Local snack shop offering spud-potato items.
RST_039,Warisan Dapur Ibu,Seri Iskandar,RM1.00,RM20.00,3.9,39,18:00:00,00:00:00,"4.35672357605292, 100.96692719947643",4.356723576,100.9669272,Malay,Family-Friendly,Casual,"88, Persiaran SIBC 1, Bandar Seri Iskandar, 32600 near, Perak",Not Available,Malay restaurant offering homestyle dishes and cozy atmosphere.
RST_040,Stalista Street's Café,Seri Iskandar,RM1.00,RM20.00,4.3,252,16:00:00,00:00:00,"4.35498772378567, 100.968963087058",4.354987724,100.9689631,Study-Friendly,Dessert,Trendy,"No 254, Lebuh SIBC, Bandar Seri Iskandar, 32610 Bota, Perak",0178389800,"Modern café for desserts, coffee, and light bites."
RST_041,Restoran Bamboo House Seri Iskandar,Seri Iskandar,RM1.00,RM20.00,4.2,164,14:00:00,22:30:00,"4.357470567232365, 100.96872480915393",4.357470567,100.9687248,Chinese,Seafood,Family-Friendly,"42&43, Persiaran SIBC 4, Bandar Seri Iskandar, 32610 Seri Iskandar, Perak",0195242384,Malaysian-chinese restaurant specializing in seafood and family-style dining.
RST_042,Nasi Ayam Plang Tu,Seri Iskandar,RM1.00,RM20.00,4.7,30,11:45:00,15:15:00,"4.35752853971142, 100.96825638381064",4.35752854,100.9682564,Malay,Street-Side,Rice,"48, Persiaran SIBC 4, Bandar Seri Iskandar, 32600 Bota, Perak",0196751099,Malay food stall known for its crispy fried chicken and rice.
RST_043,"Che'gu Cafe, Restaurant & Catering",Seri Iskandar,RM1.00,RM20.00,4.4,1120,15:30:00,23:00:00,"4.356261176516531, 100.96851097433837",4.356261177,100.968511,Malay,Family-Friendly,Casual,"Persiaran SIBC 6 Seri Iskandar, 32600 Bota, Perak",0197374310,Family-friendly café serving Malay and Western fusion dishes.
RST_044,Krua Madam Tomyam,Seri Iskandar,RM1.00,RM20.00,3.2,26,15:00:00,00:00:00,"4.35628144045041, 100.96823334846317",4.35628144,100.9682333,Thai,Seafood,Casual,"168, Persiaran SIBC 6, Bandar Seri Iskandar, 32610 Seri Iskandar, Perak",0133113641,Thai seafood restaurant popular for its tomyam soups.
RST_045,Syrianno Restaurant (Makanan Arab),Seri Iskandar,RM1.00,RM20.00,4.7,120,12:00:00,22:00:00,"4.35623993358376, 100.96767312042616",4.356239934,100.9676731,Middle Eastern,Family-Friendly,Popular,"NO 178 PRSN SIBC 6, SERI ISKANDAR BUSINESS CENTRE, Seri Iskandar, Bandar Seri Iskandar, 32600 Bota, Perak",01164498105,Arabian restaurant with signature Middle Eastern platters.
RST_046,"D'krabi Tomyam Classic (Seri Iskandar, Perak)",Seri Iskandar,RM1.00,RM20.00,3.0,190,18:00:00,00:00:00,"4.354489561801308, 100.96690027528042",4.354489562,100.9669003,Thai,Popular,Late-Night Eats,"308, Persiaran SIBC 12, 32600 Bota, Perak",01165252573,Casual Thai eatery offering tomyam and other local dishes.
RST_047,Meeting Point,Seri Iskandar,RM1.00,RM20.00,4.2,50,14:30:00,01:00:00,"4.359887498648897, 100.96393825465455",4.359887499,100.9639383,Study-Friendly,Trendy,Casual,"Persiaran Dataran 1, Bandar Seri Iskandar, 32600 Bota, Perak",Not Available,"Trendy café with coffee, snacks, and cozy seating."
RST_048,Ayam Penyet Medan Mba Rina,Seri Iskandar,RM1.00,RM20.00,4.6,105,09:00:00,22:00:00,"4.359470288788882, 100.96388708195134",4.359470289,100.9638871,Malay,Rice,Casual,"18, Persiaran Dataran 2, Bandar Seri Iskandar, 32600 Bota, Perak",0164880953,Indonesian eatery offering spicy ayam penyet with sambal.
RST_049,Kari Kepala Ikan Salim,Seri Iskandar,RM1.00,RM20.00,3.9,46,00:00:00,00:00:00,"4.362383912643835, 100.96156913115568",4.362383913,100.9615691,Mamak Stall,Malay,Indian,"5, 32600 Bota, Perak",053731332,Malay seafood restaurant famous for curry fish head.
RST_050,Restoran Pakcik Wong Greentown,Ipoh,RM1.00,RM20.00,4.4,892,12:00:00,21:30:00,"4.599923894836828, 101.09615488245579",4.599923895,101.0961549,Chinese,Family-Friendly,Popular,"12 & 12-1, Persiaran Greentown 10, Greentown Business Centre, 30450 Ipoh, Perak",0105276212,Chinese restaurant offering halal dim sum and seafood options.
RST_051,Restoran Pakcik Wong Station 18,Ipoh,RM1.00,RM20.00,4.5,10,12:00:00,21:30:00,"4.54725183527674, 101.07129391036091",4.547251835,101.0712939,Chinese,Family-Friendly,Mall-Based,"20 GF, Jalan Stesen 18/7, Stesen 18, 31650 Ipoh, Perak",0163546212,Chinese halal restaurant serving dim sum and seafood.
RST_052,Nando's AEON Ipoh Station 18,Ipoh,RM20.00,RM40.00,4.4,439,10:00:00,22:00:00,"4.545566574938611, 101.07084891257873",4.545566575,101.0708489,Western,Grill,Mall-Based,"No. 2, Susuran Stesen 18, Station 18 Lot G-57, Aeon Ipoh, Station 18, 31650 Ipoh, Perak",052380419,Famous for flame-grilled peri-peri chicken and sides.
RST_053,MyeongDong Topokki @AEON Station 18,Ipoh,RM20.00,RM40.00,3.3,105,10:00:00,22:00:00,"4.545370052640098, 101.07042110024835",4.545370053,101.0704211,Korean,Mall-Based,Casual,"Lot G70 Ground Floor, Aeon Ipoh, Station 18, 31650 Ipoh, Perak",Not Available,Korean street food chain with tteokbokki and fried chicken.
RST_054,"Texas Chicken AEON Mall Station 18, Ipoh",Ipoh,RM20.00,RM40.00,2.2,92,10:00:00,22:00:00,"4.54597967265761, 101.07030040084464",4.545979673,101.0703004,Fast Food,Mall-Based,Family-Friendly,"Lot G53, Ground Floor, AEON Ipoh Station 18 Shopping Centre, No.2, Susunan Stesen 18, Station 18, 31650 Ipoh, Perak",058310398,American fast-food chain specializing in fried chicken.
RST_055,Sushi King AEON Ipoh Station 18,Ipoh,RM20.00,RM40.00,4.4,665,10:00:00,22:00:00,"4.545190909810539, 101.07113590894525",4.54519091,101.0711359,Japanese,Mall-Based,Family-Friendly,"Sushi King AEON Ipoh Station 18, Lot F68 & F69, 1st Floor AEON Ipoh Station 18 Shopping Centre, No. 2, Susuran Stesen 18, Station 18, 31650 Ipoh, Perak",053217087,Japanese chain offering sushi on conveyor belts.
RST_056,Richeese Factory Aeon Station 18,Ipoh,RM20.00,RM40.00,4.5,302,10:00:00,22:00:00,"4.5461828792211385, 101.07040903031033",4.546182879,101.070409,Fast Food,Mall-Based,Late-Night Eats,"F-75 First Floor, Aeon Station 18, Taman Pengkalan Jaya, 31650 Ipoh, Perak",Not Available,Indonesian fast-food chain specializing in cheesy chicken.
RST_057,BananaBro Ipoh Parade,Ipoh,RM1.00,RM20.00,4.3,644,10:00:00,22:00:00,"4.595441003734857, 101.09042472590255",4.595441004,101.0904247,Malay,Rice,Popular,"LOT G19D, Ground Floor, 105, Jalan Sultan Abdul Jalil, Greentown, 30450 Ipoh, Perak",0122257565,Malaysian eatery famous for banana leaf rice.
RST_058,Nasi Kerabu AB,Seri Iskandar,RM1.00,RM20.00,1.0,1,08:00:00,16:00:00,"4.353794788533178, 100.96961127762494",4.353794789,100.9696113,Malay,Rice,Street-Side,"Business Centre, 504, Persiaran Iskandar Perdana 22, Bandar Seri Iskandar, 32610 Sri Iskandar, Perak",Not Available,Malay stall known for blue rice and spicy condiments.
RST_059,FamilyMart Seri Iskandar,Seri Iskandar,RM1.00,RM20.00,2.2,101,00:00:00,00:00:00,"4.358339763654708, 100.96709433942274",4.358339764,100.9670943,Convenience,Takeaway,24-Hour,"No. 2 & 3 (Ground Floor, Persiaran SIBC 2, Business Centre, 32610 Seri Iskandar, Perak",Not Available,Japanese convenience store with onigiri and desserts.
RST_060,"The Coffee Bean & Tea Leaf, Canning II",Ipoh,RM20.00,RM40.00,4.0,142,08:00:00,23:00:00,"4.598305371673701, 101.10636150990821",4.598305372,101.1063615,Study-Friendly,Dessert,Trendy,"No.39, Ground Floor, Hala Pusat Perdagangan Canning, 1, Jln Pusat Perdagangan Canning 2, 30350 Ipoh, Perak",Not Available,Café chain serving premium coffee and cakes.
RST_061,Ayam Gepuk Pak Gendut Seri Iskandar,Seri Iskandar,RM1.00,RM20.00,3.5,62,11:30:00,19:30:00,"4.355996772641084, 100.96683346777442",4.355996773,100.9668335,Indonesian,Rice,Casual,"No 205 (GF) Persiaran SIBC 1 Lebuh SIBC, Business Centre, 32610 Seri Iskandar, Perak",01127900978,Spicy Indonesian fried chicken with sambal.
RST_062,Village 5 Café UTP,Seri Iskandar,RM1.00,RM20.00,3.7,408,08:00:00,22:00:00,"4.386080537617189, 100.96377666281712",4.386080538,100.9637767,UTP,Family-Friendly,Study-Friendly,"31750 Bota, Perak",0162665963,Campus café serving affordable Malay meals for students.
RST_063,Village 2 Café UTP,Seri Iskandar,RM1.00,RM20.00,3.9,543,07:00:00,22:30:00,"4.387745180975835, 100.96780838832697",4.387745181,100.9678084,UTP,Family-Friendly,Study-Friendly,"31750 Bota, Perak",053688000,Another UTP café with quick meals and snacks.
RST_064,Manje's Burger Café,Seri Iskandar,RM1.00,RM20.00,5.0,4,07:00:00,01:30:00,"4.387872212484566, 100.96784191593841",4.387872212,100.9678419,UTP,Fast Food,Burger,"Universiti teknologi petronas, Village 2 A, 32610 Seri Iskandar, Perak",0174636885,Local burger joint in UTP serving large patties and sauces.
RST_065,Mr Sushi Café,Seri Iskandar,RM1.00,RM20.00,5.0,13,11:00:00,22:00:00,"4.372752710636421, 100.97910027822996",4.372752711,100.9791003,Japanese,Casual,Study-Friendly,"B-G143, Book B (Battani), Soho, Lestari IUS1, 32610 Seri Iskandar, Perak",0109320020,Casual Japanese spot offering sushi rolls and bento.
RST_066,Pasta Medina Seri Iskandar,Seri Iskandar,RM1.00,RM20.00,5.0,1,17:00:00,22:00:00,"4.357507674068335, 100.9666960313811",4.357507674,100.966696,Italian,Family-Friendly,Street-Side,"Persiaran SIBC 1, Bandar Seri Iskandar, 32610 Seri Iskandar, Perak",0174055729,Italian-inspired café serving pasta and Western dishes.
RST_067,Marrybrown Seri Iskandar,Seri Iskandar,RM20.00,RM40.00,4.2,380,10:00:00,22:00:00,"4.358181732107829, 100.96769271044575",4.358181732,100.9676927,Chicken,Fast Food,Family-Friendly,"13, Persiaran SIBC 2, Bandar Seri Iskandar, 32600 Bota, Perak",053716129,Malaysian fast-food chain with fried chicken and rice.
RST_068,Kin Loong Valley Chang Jiang White Coffee,Ipoh,RM1.00,RM20.00,3.6,1458,08:00:00,18:00:00,"4.559880757497307, 101.11770436362895",4.559880757,101.1177044,Breakfast Spot,Malay,Chinese,"Eko Perlancongan, 1, Jln Perniagaan Sengat, Pusat Perniagaan Sengat, 31350 Ipoh, Perak",Not Available,Breakfast spot known for coffee and toast sets.
RST_069,Ayam Gepuk Tok Pa,Seri Iskandar,RM1.00,RM20.00,5.0,11,11:30:00,19:00:00,"4.356267537663335, 100.9686612591709",4.356267538,100.9686613,Indonesian,Rice,Casual,"Bandar Seri Iskandar, 32600 Bota, Perak",Not Available,Indonesian fried chicken with crunchy sambal topping.
RST_070,Wan Corner Chicken Chop,Seri Iskandar,RM1.00,RM20.00,4.0,4,13:30:00,19:00:00,"4.363181494899198, 100.9765705383242",4.363181495,100.9765705,Fusion,Malay,Western,"Dataran Niaga, 32610 Seri Iskandar, Perak",0185774234,Local eatery specializing in chicken chop and Western food.
RST_071,"Mee Kari Merdeka Garden, Ipoh",Ipoh,RM1.00,RM20.00,4.3,135,07:00:00,23:00:00,"4.612814990000735, 101.07587148101815",4.61281499,101.0758715,Malay,Casual,Popular,"Jalan Labrooy, Taman Pari, 30100 Ipoh, Perak",0125597777,Famous for rich curry noodles and casual local dining.
RST_072,Kopi Mesin Seri Iskandar,Seri Iskandar,RM20.00,RM40.00,3.7,214,11:00:00,00:00:00,"4.353000792120923, 100.96949817294606",,,Western,Fusion,Family-Friendly,"46, Persiaran Iskandar Perdana 19, Taman Seri Iskandar, 32610 Seri Iskandar, Perak",01115680148,Trendy cafe serving western fusion meals and artisan coffee.
RST_073,Little Ipoh Café,Seri Iskandar,RM1.00,RM20.00,4.0,241,07:00:00,17:00:00,"4.364291526173821, 100.97748124331993",,,Malay,Family-Friendly,Casual,"21, Jalan PP 1, Bandar Universiti, 32610 Seri Iskandar, Perak",053731478,Family-friendly café with Malay dishes and cozy neighborhood.
RST_074,Beruas Old Town Burger,Seri Iskandar,RM1.00,RM20.00,4.3,9,18:30:00,02:30:00,"4.35541610190454, 100.96669765034447",,,Burger,Drive-Thru,Street-Side,"Persiaran SIBC 1, Bandar Seri Iskandar, 32600 Bota, Perak",01140725430,Street-side burger joint with drive-thru and late-night eats.
RST_075,Nojom Hadramout Restaurant,Seri Iskandar,RM1.00,RM20.00,4.5,153,12:00:00,00:00:00,"4.356321887608657, 100.96845160075645",,,Middle Eastern,Rice,Fusion,"163, ground floor, 6, Lebuh SIBC, Bandar Seri Iskandar, 32610 Bota, Perak",01169547515,Middle Eastern rice platters in a comfortable modern setting.
RST_076,Khunthai Village Restaurant@Ipoh,Ipoh,RM20.00,RM60.00,3.7,534,11:00:00,00:00:00,"4.599600940741489, 101.09866796974553",,,Thai,Fusion,Fine Dining,"No. 12A, Jalan Chin Choon Sam, Greentown, 30450 Ipoh, Perak",0124803081,Thai fine dining offering fusion meals with elegant ambiance.
RST_077,Nasi Kandar Melayu Seri Iskandar,Seri Iskandar,RM1.00,RM20.00,4.1,195,08:00:00,16:00:00,"4.3626942114165965, 100.96076909355301",,,Malay,Rice,Meat,"No 12 kedai majlis 12 unit bandar Baru, 32610 Seri Iskandar, Perak",0196436674,Popular for spicy Malay rice dishes and delicious curries.
RST_078,KFC Seri Iskandar Drive Thru,Seri Iskandar,RM20.00,RM40.00,3.4,1383,10:00:00,23:00:00,"4.367081238122142, 100.98022791562617",,,Fast Food,Chicken,Burger,"Lot HS (D) 12038, PT 11378 Mukim, 32610 Bota, Perak",053711396,"Fast food chain with fried chicken, burgers, and drive-thru."
RST_079,Lock Luck Char Kuey Teow,Seri Iskandar,RM1.00,RM20.00,4.1,326,17:00:00,00:00:00,"4.363100921793856, 100.97770425104538",,,Malay,Fusion,Casual,"Jln PP6, Bandar Universiti Lakeville, 32610 Seri Iskandar, Perak",0134811388,Local favorite for wok-fried noodles with seafood toppings.
RST_080,Restoran Mamak Bistro,Seri Iskandar,RM1.00,RM20.00,3.6,95,00:00:00,00:00:00,"4.356279385837836, 100.96697657584897",,,Mamak Stall,24-Hour,Fusion,"Bandar Seri Iskandar, 32600 Bota, Perak",Not Available,"24-hour mamak stall serving roti, noodles, and street food."
RST_081,Restoran D'putra,Seri Iskandar,RM1.00,RM20.00,4.5,6,11:00:00,19:00:00,"4.3986323371393095, 100.98287462523821",,,Malay,Western,Fusion,"31750 Bota, Perak",Not Available,Malay and Western fusion dishes in a quiet neighborhood.
