id,user_id,restaurant_id,date,day,meal_time
MEAL_002_027,USR_002,RST_049,2025-06-20,Friday,Dinner
MEAL_002_028,USR_002,RST_034,2025-06-21,Saturday,Lunch
MEAL_002_029,USR_002,RST_049,2025-06-21,Saturday,Dinner
MEAL_002_030,USR_002,RST_017,2025-06-22,Sunday,Lunch
MEAL_002_031,USR_002,RST_044,2025-06-22,Sunday,Dinner
MEAL_002_032,USR_002,RST_003,2025-06-23,Monday,Lunch
MEAL_002_033,USR_002,RST_004,2025-06-23,Monday,Dinner
MEAL_002_034,USR_002,RST_005,2025-06-24,Tuesday,Lunch
MEAL_002_035,USR_002,RST_004,2025-06-24,Tuesday,Dinner
MEAL_002_036,USR_002,RST_025,2025-06-25,Wednesday,Lunch
MEAL_002_037,USR_002,RST_004,2025-06-25,Wednesday,Dinner
MEAL_002_038,USR_002,RST_003,2025-06-26,Thursday,Lunch
MEAL_002_039,USR_002,RST_029,2025-06-26,Thursday,Dinner
MEAL_002_040,USR_002,RST_007,2025-06-27,Friday,Lunch
MEAL_002_041,USR_002,RST_001,2025-06-27,Friday,Dinner
MEAL_002_042,USR_002,RST_003,2025-06-28,Saturday,Lunch
MEAL_002_043,USR_002,RST_034,2025-06-28,Saturday,Dinner
MEAL_003_001,USR_003,RST_020,2025-05-12,Monday,Lunch
MEAL_003_002,USR_003,RST_017,2025-05-13,Tuesday,Lunch
MEAL_003_003,USR_003,RST_020,2025-05-14,Wednesday,Lunch
MEAL_003_004,USR_003,RST_017,2025-05-15,Thursday,Lunch
MEAL_003_005,USR_003,RST_020,2025-05-16,Friday,Lunch
MEAL_003_006,USR_003,RST_014,2025-05-12,Monday,Dinner
MEAL_003_007,USR_003,RST_001,2025-05-13,Tuesday,Dinner
MEAL_003_008,USR_003,RST_021,2025-05-14,Wednesday,Dinner
MEAL_003_009,USR_003,RST_001,2025-05-16,Friday,Dinner
MEAL_003_010,USR_003,RST_022,2025-05-18,Sunday,Breakfast
MEAL_003_011,USR_003,RST_020,2025-05-18,Sunday,Lunch
MEAL_003_012,USR_003,RST_017,2025-05-19,Monday,Brunch
MEAL_003_013,USR_003,RST_023,2025-05-19,Monday,Brunch
MEAL_003_014,USR_003,RST_024,2025-05-19,Monday,Dinner
MEAL_003_015,USR_003,RST_901,2025-05-18,Sunday,Late Dinner
MEAL_003_016,USR_003,RST_020,2025-05-20,Tuesday,Brunch
MEAL_003_017,USR_003,RST_001,2025-05-20,Tuesday,Dinner
MEAL_003_018,USR_003,RST_020,2025-06-22,Sunday,Dinner
MEAL_003_019,USR_003,RST_061,2025-06-23,Monday,Lunch
MEAL_003_020,USR_003,RST_040,2025-06-23,Monday,Dinner
MEAL_003_021,USR_003,RST_061,2025-06-24,Tuesday,Lunch
MEAL_003_022,USR_003,RST_901,2025-06-24,Tuesday,Dinner
MEAL_003_023,USR_003,RST_061,2025-06-25,Wednesday,Lunch
MEAL_003_024,USR_003,RST_017,2025-06-26,Thursday,Lunch
MEAL_003_025,USR_003,RST_012,2025-06-26,Thursday,Dinner
MEAL_003_026,USR_003,RST_017,2025-06-27,Friday,Brunch
MEAL_003_027,USR_003,RST_017,2025-06-30,Monday,Lunch
MEAL_003_028,USR_003,RST_901,2025-06-30,Monday,Dinner
MEAL_003_029,USR_003,RST_025,2025-07-01,Tuesday,Lunch
MEAL_003_030,USR_003,RST_001,2025-07-01,Tuesday,Dinner
MEAL_003_031,USR_003,RST_006,2025-07-02,Wednesday,Lunch
MEAL_003_032,USR_003,RST_006,2025-07-02,Wednesday,Dinner
MEAL_003_033,USR_003,RST_017,2025-07-03,Thursday,Lunch
MEAL_003_034,USR_003,RST_024,2025-07-03,Thursday,Dinner
MEAL_003_035,USR_003,RST_063,2025-07-04,Friday,Lunch
MEAL_003_036,USR_003,RST_028,2025-07-04,Friday,Dinner
MEAL_003_037,USR_003,RST_014,2025-07-05,Saturday,Lunch
MEAL_003_038,USR_003,RST_020,2025-07-05,Saturday,Dinner
MEAL_003_039,USR_003,RST_901,2025-07-06,Sunday,Lunch
MEAL_003_040,USR_003,RST_901,2025-07-06,Sunday,Dinner
MEAL_004_001,USR_004,RST_017,2025-05-17,Saturday,Breakfast
MEAL_004_002,USR_004,RST_003,2025-05-17,Saturday,Lunch
MEAL_004_003,USR_004,RST_063,2025-05-17,Saturday,Dinner
MEAL_004_004,USR_004,RST_011,2025-05-18,Sunday,Lunch
MEAL_004_005,USR_004,RST_064,2025-05-18,Sunday,Dinner
MEAL_004_006,USR_004,RST_062,2025-05-19,Monday,Breakfast
MEAL_004_007,USR_004,RST_062,2025-05-19,Monday,Lunch
MEAL_004_008,USR_004,RST_064,2025-05-19,Monday,Dinner
MEAL_004_009,USR_004,RST_020,2025-05-20,Tuesday,Breakfast
MEAL_004_010,USR_004,RST_062,2025-05-20,Tuesday,Dinner
MEAL_004_011,USR_004,RST_017,2025-05-21,Wednesday,Linner
MEAL_004_012,USR_004,RST_017,2025-05-22,Thursday,Breakfast
MEAL_004_013,USR_004,RST_020,2025-05-22,Thursday,Lunch
MEAL_004_014,USR_004,RST_017,2025-05-23,Friday,Lunch
MEAL_004_015,USR_004,RST_064,2025-05-23,Friday,Dinner
MEAL_004_016,USR_004,RST_063,2025-05-24,Saturday,Lunch
MEAL_004_017,USR_004,RST_062,2025-05-24,Saturday,Dinner
MEAL_004_018,USR_004,RST_003,2025-05-25,Sunday,Brunch
MEAL_004_019,USR_004,RST_062,2025-05-25,Sunday,Dinner
MEAL_004_020,USR_004,RST_062,2025-06-16,Monday,Breakfast
MEAL_004_021,USR_004,RST_015,2025-06-16,Monday,Linner
MEAL_004_022,USR_004,RST_062,2025-06-17,Tuesday,Breakfast
MEAL_004_023,USR_004,RST_017,2025-06-17,Tuesday,Lunch
MEAL_004_024,USR_004,RST_032,2025-06-17,Tuesday,Dinner
MEAL_004_025,USR_004,RST_035,2025-06-18,Wednesday,Lunch
MEAL_004_026,USR_004,RST_017,2025-06-18,Wednesday,Dinner
MEAL_004_027,USR_004,RST_006,2025-06-19,Thursday,Lunch
MEAL_004_028,USR_004,RST_063,2025-06-19,Thursday,Dinner
MEAL_004_029,USR_004,RST_011,2025-06-20,Friday,Brunch
MEAL_004_030,USR_004,RST_004,2025-06-20,Friday,Dinner
MEAL_004_031,USR_004,RST_062,2025-06-21,Saturday,Breakfast
MEAL_004_032,USR_004,RST_063,2025-06-21,Saturday,Lunch
MEAL_004_033,USR_004,RST_062,2025-06-21,Saturday,Dinner
MEAL_004_034,USR_004,RST_062,2025-06-22,Sunday,Lunch
MEAL_004_035,USR_004,RST_029,2025-06-22,Sunday,Dinner
MEAL_004_036,USR_004,RST_062,2025-06-23,Monday,Brunch
MEAL_004_037,USR_004,RST_062,2025-06-23,Monday,Dinner
MEAL_004_038,USR_004,RST_017,2025-06-24,Tuesday,Brunch
MEAL_004_039,USR_004,RST_020,2025-06-24,Tuesday,Dinner
MEAL_004_040,USR_004,RST_062,2025-06-25,Wednesday,Brunch
MEAL_004_041,USR_004,RST_012,2025-06-25,Wednesday,Tea Time
MEAL_004_042,USR_004,RST_020,2025-06-25,Wednesday,Dinner
MEAL_004_043,USR_004,RST_020,2025-06-26,Thursday,Lunch
MEAL_004_044,USR_004,RST_024,2025-06-26,Thursday,Dinner
MEAL_004_045,USR_004,RST_050,2025-06-27,Friday,Linner
MEAL_004_046,USR_004,RST_017,2025-06-28,Saturday,Lunch
MEAL_004_047,USR_004,RST_064,2025-06-28,Saturday,Dinner
MEAL_004_048,USR_004,RST_062,2025-06-29,Sunday,Breakfast
MEAL_004_049,USR_004,RST_061,2025-06-29,Sunday,Lunch
MEAL_004_050,USR_004,RST_062,2025-06-29,Sunday,Dinner
MEAL_004_051,USR_004,RST_063,2025-06-30,Monday,Breakfast
MEAL_004_052,USR_004,RST_064,2025-06-30,Monday,Lunch
MEAL_004_053,USR_004,RST_062,2025-06-30,Monday,Dinner
MEAL_004_054,USR_004,RST_062,2025-07-01,Tuesday,Breakfast
MEAL_004_055,USR_004,RST_061,2025-07-01,Tuesday,Lunch
MEAL_004_056,USR_004,RST_020,2025-07-01,Tuesday,Dinner
MEAL_004_057,USR_004,RST_062,2025-07-02,Wednesday,Lunch
MEAL_004_058,USR_004,RST_020,2025-07-02,Wednesday,Dinner
MEAL_004_059,USR_004,RST_062,2025-07-03,Thursday,Brunch
MEAL_004_060,USR_004,RST_064,2025-07-03,Thursday,Linner
MEAL_004_061,USR_004,RST_062,2025-07-03,Thursday,Late Dinner
MEAL_004_062,USR_004,RST_042,2025-07-04,Friday,Lunch
MEAL_004_063,USR_004,RST_062,2025-07-04,Friday,Dinner
MEAL_004_064,USR_004,RST_017,2025-07-05,Saturday,Lunch
MEAL_004_065,USR_004,RST_017,2025-07-05,Saturday,Dinner
MEAL_004_066,USR_004,RST_062,2025-07-06,Sunday,Lunch
MEAL_004_067,USR_004,RST_020,2025-07-06,Sunday,Dinner
MEAL_005_001,USR_005,RST_010,2025-05-19,Monday,Tea Time
MEAL_005_002,USR_005,RST_004,2025-05-19,Monday,Midnight Snack
MEAL_005_003,USR_005,RST_011,2025-05-20,Tuesday,Tea Time
MEAL_005_004,USR_005,RST_012,2025-05-20,Tuesday,Late Dinner
MEAL_005_005,USR_005,RST_013,2025-05-21,Wednesday,Linner
MEAL_005_006,USR_005,RST_014,2025-05-22,Thursday,Tea Time
MEAL_005_007,USR_005,RST_015,2025-05-22,Thursday,Late Dinner
MEAL_005_008,USR_005,RST_016,2025-05-23,Friday,Lunch
MEAL_005_009,USR_005,RST_002,2025-05-23,Friday,Dinner
MEAL_005_010,USR_005,RST_007,2025-05-24,Saturday,Brunch
MEAL_005_011,USR_005,RST_012,2025-05-24,Saturday,Tea Time
MEAL_005_012,USR_005,RST_019,2025-05-24,Saturday,Dinner
MEAL_005_013,USR_005,RST_017,2025-05-25,Sunday,Lunch
MEAL_005_014,USR_005,RST_018,2025-05-25,Sunday,Dinner
MEAL_005_015,USR_005,RST_003,2025-05-26,Monday,Lunch
MEAL_005_016,USR_005,RST_017,2025-05-26,Monday,Dinner
MEAL_005_017,USR_005,RST_008,2025-05-27,Tuesday,Lunch
MEAL_005_018,USR_005,RST_001,2025-05-27,Tuesday,Dinner
MEAL_005_019,USR_005,RST_004,2025-05-28,Wednesday,Midnight Snack
MEAL_005_020,USR_005,RST_028,2025-05-28,Wednesday,Dinner
MEAL_005_021,USR_005,RST_017,2025-05-29,Thursday,Lunch
MEAL_005_022,USR_005,RST_001,2025-05-29,Thursday,Dinner
MEAL_005_023,USR_005,RST_011,2025-06-16,Monday,Lunch
MEAL_005_024,USR_005,RST_001,2025-06-16,Monday,Dinner
MEAL_005_025,USR_005,RST_016,2025-06-17,Tuesday,Lunch
MEAL_005_026,USR_005,RST_001,2025-06-17,Tuesday,Dinner
MEAL_005_027,USR_005,RST_018,2025-06-18,Wednesday,Lunch
MEAL_005_028,USR_005,RST_001,2025-06-18,Wednesday,Dinner
MEAL_005_029,USR_005,RST_058,2025-06-19,Thursday,Lunch
MEAL_005_030,USR_005,RST_028,2025-06-19,Thursday,Dinner
MEAL_005_031,USR_005,RST_002,2025-06-23,Monday,Dinner
MEAL_005_032,USR_005,RST_036,2025-06-24,Tuesday,Linner
MEAL_005_033,USR_005,RST_044,2025-06-24,Tuesday,Late Dinner
MEAL_005_034,USR_005,RST_059,2025-06-25,Wednesday,Late Dinner
MEAL_005_035,USR_005,RST_008,2025-06-26,Thursday,Brunch
MEAL_005_036,USR_005,RST_060,2025-06-26,Thursday,Linner
MEAL_005_037,USR_005,RST_019,2025-06-26,Thursday,Dinner
MEAL_005_038,USR_005,RST_011,2025-06-27,Friday,Lunch
MEAL_005_039,USR_005,RST_006,2025-06-27,Friday,Dinner
MEAL_005_040,USR_005,RST_004,2025-06-27,Friday,Midnight Snack
MEAL_005_041,USR_005,RST_014,2025-06-28,Saturday,Lunch
MEAL_005_042,USR_005,RST_013,2025-06-28,Saturday,Late Dinner
MEAL_005_043,USR_005,RST_008,2025-06-29,Sunday,Lunch
MEAL_005_044,USR_005,RST_045,2025-06-29,Sunday,Dinner
MEAL_005_045,USR_005,RST_007,2025-06-30,Monday,Lunch
MEAL_005_046,USR_005,RST_010,2025-06-30,Monday,Linner
MEAL_005_047,USR_005,RST_059,2025-06-30,Monday,Late Dinner
MEAL_005_048,USR_005,RST_061,2025-07-01,Tuesday,Lunch
MEAL_005_049,USR_005,RST_066,2025-07-01,Tuesday,Tea Time
MEAL_005_050,USR_005,RST_001,2025-07-01,Tuesday,Late Dinner
MEAL_005_051,USR_005,RST_068,2025-07-02,Wednesday,Breakfast
MEAL_005_052,USR_005,RST_045,2025-07-02,Wednesday,Dinner
MEAL_005_053,USR_005,RST_038,2025-07-02,Wednesday,Late Dinner
MEAL_005_054,USR_005,RST_069,2025-07-03,Thursday,Lunch
MEAL_005_055,USR_005,RST_012,2025-07-03,Thursday,Late Dinner
MEAL_005_056,USR_005,RST_008,2025-07-04,Friday,Lunch
MEAL_005_057,USR_005,RST_066,2025-07-04,Friday,Linner
MEAL_005_058,USR_005,RST_044,2025-07-06,Sunday,Dinner
MEAL_005_059,USR_005,RST_031,2025-07-06,Sunday,Late Dinner
MEAL_006_001,USR_006,RST_024,2025-06-22,Sunday,Lunch
MEAL_006_002,USR_006,RST_062,2025-06-22,Sunday,Dinner
MEAL_006_003,USR_006,RST_062,2025-06-23,Monday,Lunch
MEAL_006_004,USR_006,RST_071,2025-06-23,Monday,Late Dinner
MEAL_006_005,USR_006,RST_043,2025-06-24,Tuesday,Lunch
MEAL_006_006,USR_006,RST_034,2025-06-24,Tuesday,Dinner
MEAL_006_007,USR_006,RST_072,2025-06-25,Wednesday,Lunch
MEAL_006_008,USR_006,RST_080,2025-06-25,Wednesday,Dinner
MEAL_006_009,USR_006,RST_017,2025-06-26,Thursday,Lunch
MEAL_006_010,USR_006,RST_012,2025-06-26,Thursday,Late Dinner
MEAL_006_011,USR_006,RST_001,2025-06-27,Friday,Brunch
MEAL_006_012,USR_006,RST_003,2025-06-27,Friday,Dinner
MEAL_006_013,USR_006,RST_055,2025-06-28,Saturday,Lunch
MEAL_006_014,USR_006,RST_073,2025-06-28,Saturday,Dinner
MEAL_006_015,USR_006,RST_014,2025-06-29,Sunday,Lunch
MEAL_006_016,USR_006,RST_074,2025-06-29,Sunday,Dinner
MEAL_006_017,USR_006,RST_075,2025-06-30,Monday,Lunch
MEAL_006_018,USR_006,RST_075,2025-06-30,Monday,Late Dinner
MEAL_006_019,USR_006,RST_076,2025-07-01,Tuesday,Lunch
MEAL_006_020,USR_006,RST_040,2025-07-01,Tuesday,Dinner
MEAL_006_021,USR_006,RST_017,2025-07-02,Wednesday,Lunch
MEAL_006_022,USR_006,RST_009,2025-07-02,Wednesday,Linner
MEAL_006_023,USR_006,RST_077,2025-07-03,Thursday,Lunch
MEAL_006_024,USR_006,RST_078,2025-07-03,Thursday,Late Dinner
MEAL_006_025,USR_006,RST_002,2025-07-04,Friday,Brunch
MEAL_006_026,USR_006,RST_062,2025-07-04,Friday,Dinner
MEAL_006_027,USR_006,RST_006,2025-07-05,Saturday,Lunch
MEAL_006_028,USR_006,RST_061,2025-07-05,Saturday,Dinner
MEAL_006_029,USR_006,RST_071,2025-07-06,Sunday,Lunch
MEAL_006_030,USR_006,RST_079,2025-07-06,Sunday,Dinner
MEAL_006_031,USR_006,RST_017,2025-07-07,Monday,Lunch
MEAL_006_032,USR_006,RST_079,2025-07-07,Monday,Late Dinner
MEAL_006_033,USR_006,RST_035,2025-07-08,Tuesday,Lunch
MEAL_006_034,USR_006,RST_080,2025-07-08,Tuesday,Dinner
MEAL_006_035,USR_006,RST_008,2025-07-09,Wednesday,Lunch
MEAL_006_036,USR_006,RST_021,2025-07-09,Wednesday,Dinner
MEAL_006_037,USR_006,RST_073,2025-07-10,Thursday,Lunch
MEAL_006_038,USR_006,RST_012,2025-07-10,Thursday,Late Dinner
MEAL_006_039,USR_006,RST_017,2025-07-11,Friday,Brunch
MEAL_006_040,USR_006,RST_028,2025-07-11,Friday,Dinner
MEAL_006_041,USR_006,RST_081,2025-07-12,Saturday,Lunch
MEAL_006_042,USR_006,RST_076,2025-07-12,Saturday,Dinner
